town,flat_type,resale_price
TAMPINES,EXECUTIVE,808000
TAMPINES,EXECUTIVE,808000
TAMPINES,EXECUTIVE,808000
TAMPINES,EXECUTIVE,808000
JURONG EAST,EXECUTIVE,806000
TAMPINES,EXECUTIVE,805000
TAMPINES,EXECUTIVE,805000
TAMPINES,EXECUTIVE,805000
TAMPINES,EXECUTIVE,803888
TAMPINES,EXECUTIVE,803698
TAMPINES,EXECUTIVE,803000
TAMPINES,EXECUTIVE,803000
TAMPINES,EXECUTIVE,803000
TAMPINES,EXECUTIVE,802000
TAMPINES,EXECUTIVE,802000
JURONG EAST,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
TAMPINES,EXECUTIVE,800000
JURONG EAST,EXECUTIVE,798000
TAMPINES,EXECUTIVE,798000
TAMPINES,EXECUTIVE,798000
TAMPINES,EXECUTIVE,798000
TAMPINES,EXECUTIVE,798000
TAMPINES,EXECUTIVE,796000
JURONG EAST,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
TAMPINES,EXECUTIVE,795000
JURONG EAST,EXECUTIVE,794000
TAMPINES,EXECUTIVE,793000
JURONG EAST,EXECUTIVE,792000
TAMPINES,EXECUTIVE,790888
JURONG EAST,EXECUTIVE,790000
JURONG EAST,EXECUTIVE,790000
TAMPINES,EXECUTIVE,790000
TAMPINES,EXECUTIVE,790000
TAMPINES,EXECUTIVE,790000
TAMPINES,EXECUTIVE,790000
TAMPINES,EXECUTIVE,790000
TAMPINES,EXECUTIVE,790000
TAMPINES,EXECUTIVE,790000
JURONG EAST,EXECUTIVE,788888
TAMPINES,EXECUTIVE,788000
JURONG EAST,EXECUTIVE,786000
TAMPINES,EXECUTIVE,785888
JURONG EAST,EXECUTIVE,785000
JURONG EAST,EXECUTIVE,785000
JURONG EAST,EXECUTIVE,785000
JURONG EAST,EXECUTIVE,785000
TAMPINES,EXECUTIVE,785000
TAMPINES,EXECUTIVE,785000
TAMPINES,EXECUTIVE,785000
TAMPINES,EXECUTIVE,785000
TAMPINES,EXECUTIVE,785000
TAMPINES,EXECUTIVE,785000
TAMPINES,EXECUTIVE,785000
TAMPINES,EXECUTIVE,785000
TAMPINES,EXECUTIVE,785000
TAMPINES,EXECUTIVE,785000
TAMPINES,EXECUTIVE,785000
TAMPINES,EXECUTIVE,783000
TAMPINES,EXECUTIVE,782000
JURONG EAST,EXECUTIVE,780000
JURONG EAST,EXECUTIVE,780000
JURONG EAST,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,780000
TAMPINES,EXECUTIVE,778000
JURONG EAST,EXECUTIVE,777000
TAMPINES,EXECUTIVE,776888
JURONG EAST,EXECUTIVE,775000
JURONG EAST,EXECUTIVE,775000
TAMPINES,EXECUTIVE,775000
TAMPINES,EXECUTIVE,775000
TAMPINES,EXECUTIVE,775000
TAMPINES,EXECUTIVE,775000
TAMPINES,EXECUTIVE,775000
TAMPINES,EXECUTIVE,775000
TAMPINES,EXECUTIVE,775000
TAMPINES,EXECUTIVE,775000
TAMPINES,EXECUTIVE,774000
TAMPINES,EXECUTIVE,773000
TAMPINES,EXECUTIVE,772000
TAMPINES,EXECUTIVE,772000
JURONG EAST,EXECUTIVE,770188
JURONG EAST,EXECUTIVE,770000
JURONG EAST,EXECUTIVE,770000
JURONG EAST,EXECUTIVE,770000
JURONG EAST,EXECUTIVE,770000
JURONG EAST,EXECUTIVE,770000
JURONG EAST,EXECUTIVE,770000
TAMPINES,EXECUTIVE,770000
TAMPINES,EXECUTIVE,770000
TAMPINES,EXECUTIVE,770000
TAMPINES,EXECUTIVE,770000
TAMPINES,EXECUTIVE,770000
TAMPINES,EXECUTIVE,770000
TAMPINES,EXECUTIVE,770000
TAMPINES,EXECUTIVE,770000
JURONG EAST,EXECUTIVE,768000
TAMPINES,EXECUTIVE,768000
TAMPINES,EXECUTIVE,768000
TAMPINES,EXECUTIVE,768000
TAMPINES,EXECUTIVE,768000
TAMPINES,EXECUTIVE,768000
TAMPINES,EXECUTIVE,768000
TAMPINES,EXECUTIVE,768000
TAMPINES,EXECUTIVE,768000
JURONG EAST,EXECUTIVE,765000
JURONG EAST,EXECUTIVE,765000
JURONG EAST,EXECUTIVE,765000
TAMPINES,EXECUTIVE,765000
TAMPINES,EXECUTIVE,765000
TAMPINES,EXECUTIVE,765000
TAMPINES,EXECUTIVE,765000
TAMPINES,EXECUTIVE,765000
TAMPINES,EXECUTIVE,765000
TAMPINES,EXECUTIVE,765000
TAMPINES,EXECUTIVE,763000
JURONG EAST,EXECUTIVE,760000
JURONG EAST,EXECUTIVE,760000
JURONG EAST,EXECUTIVE,760000
TAMPINES,EXECUTIVE,760000
TAMPINES,EXECUTIVE,760000
TAMPINES,EXECUTIVE,760000
TAMPINES,EXECUTIVE,760000
TAMPINES,EXECUTIVE,760000
TAMPINES,EXECUTIVE,760000
JURONG EAST,EXECUTIVE,758000
JURONG EAST,EXECUTIVE,758000
TAMPINES,EXECUTIVE,758000
TAMPINES,EXECUTIVE,758000
TAMPINES,EXECUTIVE,758000
TAMPINES,EXECUTIVE,758000
JURONG EAST,EXECUTIVE,755000
JURONG EAST,EXECUTIVE,755000
JURONG EAST,EXECUTIVE,755000
JURONG EAST,EXECUTIVE,755000
JURONG EAST,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
TAMPINES,EXECUTIVE,755000
JURONG EAST,EXECUTIVE,753000
TAMPINES,EXECUTIVE,752000
JURONG EAST,EXECUTIVE,750000
JURONG EAST,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,750000
TAMPINES,EXECUTIVE,749999
JURONG EAST,EXECUTIVE,749988
TAMPINES,EXECUTIVE,748888
JURONG EAST,EXECUTIVE,748000
TAMPINES,EXECUTIVE,748000
TAMPINES,EXECUTIVE,747000
JURONG EAST,EXECUTIVE,745000
JURONG EAST,EXECUTIVE,745000
JURONG EAST,EXECUTIVE,745000
JURONG EAST,EXECUTIVE,745000
JURONG EAST,EXECUTIVE,745000
TAMPINES,EXECUTIVE,745000
TAMPINES,EXECUTIVE,745000
TAMPINES,EXECUTIVE,745000
TAMPINES,EXECUTIVE,745000
TAMPINES,EXECUTIVE,745000
TAMPINES,EXECUTIVE,745000
TAMPINES,EXECUTIVE,745000
JURONG EAST,EXECUTIVE,743000
TAMPINES,EXECUTIVE,743000
TAMPINES,EXECUTIVE,742000
JURONG EAST,EXECUTIVE,740000
JURONG EAST,EXECUTIVE,740000
JURONG EAST,EXECUTIVE,740000
JURONG EAST,EXECUTIVE,740000
JURONG EAST,EXECUTIVE,740000
JURONG EAST,EXECUTIVE,740000
TAMPINES,EXECUTIVE,740000
